P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,method
1.0,1.0,0.012195121951219513,1.0,1.0,1.0,0.024390243902439025,1.0,0.6666666666666666,1.0,0.024390243902439025,0.7653606369886217,0.75,1.0,0.036585365853658534,0.8048099750039491,0.8,1.0,0.04878048780487805,0.830419897363192,0.6666666666666666,1.0,0.04878048780487805,0.7409096387260823,0.5714285714285714,1.0,0.04878048780487805,0.6730234638881231,0.625,1.0,0.06097560975609756,0.6991144057079179,0.5555555555555556,1.0,0.06097560975609756,0.649648034100988,0.6,1.0,0.07317073170731707,0.6719377023185354,0.5454545454545454,1.0,0.07317073170731707,0.6330715139891345,0.5,1.0,0.07317073170731707,0.5994785831028875,0.46153846153846156,1.0,0.07317073170731707,0.5700777790709582,0.42857142857142855,1.0,0.07317073170731707,0.5440740483505294,0.4,1.0,0.07317073170731707,0.5208680363318394,0.4375,1.0,0.08536585365853659,0.5400655343147085,0.4117647058823529,1.0,0.08536585365853659,0.5196560944880733,0.3888888888888889,1.0,0.08536585365853659,0.501068100466663,0.3684210526315789,1.0,0.08536585365853659,0.4840501816800132,0.35,1.0,0.08536585365853659,0.4683968259744479,rrf_only
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.02564102564102564,0.13120507751234178,0.3333333333333333,1.0,0.05128205128205128,0.22485174766247445,0.2857142857142857,1.0,0.05128205128205128,0.20424960638019762,0.375,1.0,0.07692307692307693,0.26774614184997625,0.3333333333333333,1.0,0.07692307692307693,0.2488015599032468,0.3,1.0,0.07692307692307693,0.23297260855707355,0.2727272727272727,1.0,0.07692307692307693,0.21949701811390096,0.25,1.0,0.07692307692307693,0.2078497586869602,0.23076923076923078,1.0,0.07692307692307693,0.19765598330367803,0.2857142857142857,1.0,0.10256410256410256,0.23425438885689906,0.26666666666666666,1.0,0.10256410256410256,0.22426289931659713,0.25,1.0,0.10256410256410256,0.2152773026882651,0.23529411764705882,1.0,0.10256410256410256,0.20714182860949124,0.2777777777777778,1.0,0.1282051282051282,0.2355022059935986,0.2631578947368421,1.0,0.1282051282051282,0.2275037774128461,0.25,1.0,0.1282051282051282,0.22014669402152695,rrf_only
1.0,1.0,0.038461538461538464,1.0,0.5,1.0,0.038461538461538464,0.6131471927654584,0.3333333333333333,1.0,0.038461538461538464,0.46927872602275644,0.5,1.0,0.07692307692307693,0.5585075862632192,0.4,1.0,0.07692307692307693,0.48522855511632257,0.3333333333333333,1.0,0.07692307692307693,0.4329261794091841,0.42857142857142855,1.0,0.11538461538461539,0.4848845701744174,0.5,1.0,0.15384615384615385,0.5259879682037469,0.4444444444444444,1.0,0.15384615384615385,0.48877128938335523,0.4,1.0,0.15384615384615385,0.4576752747037683,0.36363636363636365,1.0,0.15384615384615385,0.4312024434294273,0.4166666666666667,1.0,0.19230769230769232,0.4613847792065342,0.38461538461538464,1.0,0.19230769230769232,0.4387566422569977,0.35714285714285715,1.0,0.19230769230769232,0.4187430406118959,0.3333333333333333,1.0,0.19230769230769232,0.40088268490729545,0.3125,1.0,0.19230769230769232,0.3848204199814576,0.29411764705882354,1.0,0.19230769230769232,0.3702777974539194,0.2777777777777778,1.0,0.19230769230769232,0.35703303508446277,0.2631578947368421,1.0,0.19230769230769232,0.34490702029813,0.25,1.0,0.19230769230769232,0.3337533166566296,rrf_only
1.0,1.0,0.05263157894736842,1.0,1.0,1.0,0.10526315789473684,1.0,1.0,1.0,0.15789473684210525,1.0,1.0,1.0,0.21052631578947367,1.0,0.8,1.0,0.21052631578947367,0.8687949224876582,0.8333333333333334,1.0,0.2631578947368421,0.8829374068620365,0.8571428571428571,1.0,0.3157894736842105,0.8936633189697701,0.875,1.0,0.3684210526315789,0.9021484053648395,0.8888888888888888,1.0,0.42105263157894735,0.9090719693810212,0.8,1.0,0.42105263157894735,0.8512360941594274,0.7272727272727273,1.0,0.42105263157894735,0.8019989368541804,0.6666666666666666,1.0,0.42105263157894735,0.7594421415139173,0.6153846153846154,1.0,0.42105263157894735,0.7221960910200548,0.5714285714285714,1.0,0.42105263157894735,0.6892535814754154,0.6,1.0,0.47368421052631576,0.7025076323622542,0.625,1.0,0.5263157894736842,0.7144273320707044,0.6470588235294118,1.0,0.5789473684210527,0.7252193152873899,0.6111111111111112,1.0,0.5789473684210527,0.6992783661870947,0.5789473684210527,1.0,0.5789473684210527,0.6755285756218004,0.55,1.0,0.5789473684210527,0.6755285756218004,rrf_only
1.0,1.0,0.020833333333333332,1.0,1.0,1.0,0.041666666666666664,1.0,1.0,1.0,0.0625,1.0,1.0,1.0,0.08333333333333333,1.0,0.8,1.0,0.08333333333333333,0.8687949224876582,0.6666666666666666,1.0,0.08333333333333333,0.7751482523375255,0.5714285714285714,1.0,0.08333333333333333,0.7041249493150387,0.625,1.0,0.10416666666666667,0.7277341624565861,0.6666666666666666,1.0,0.125,0.7469985389103325,0.6,1.0,0.125,0.6994739030813919,0.5454545454545454,1.0,0.125,0.6590149671490027,0.5,1.0,0.125,0.624045388270085,0.5384615384615384,1.0,0.14583333333333334,0.6424836914487562,0.5,1.0,0.14583333333333334,0.6131772116699311,0.4666666666666667,1.0,0.14583333333333334,0.5870237904826158,0.4375,1.0,0.14583333333333334,0.5635033641946064,0.4117647058823529,1.0,0.14583333333333334,0.5422081930109283,0.4444444444444444,1.0,0.16666666666666666,0.5585833139065014,0.42105263157894735,1.0,0.16666666666666666,0.5396119895240765,0.4,1.0,0.16666666666666666,0.5221618598997229,rrf_only
0.0,0.0,0.0,0.0,0.5,1.0,0.03125,0.38685280723454163,0.3333333333333333,1.0,0.03125,0.2960819109658652,0.25,1.0,0.03125,0.24630238874073,0.2,1.0,0.03125,0.21398626473452756,0.16666666666666666,1.0,0.03125,0.19092086617893467,0.14285714285714285,1.0,0.03125,0.17342765698823945,0.125,1.0,0.03125,0.15958907712489634,0.1111111111111111,1.0,0.03125,0.1482972305701491,0.1,1.0,0.03125,0.13886244387355454,0.09090909090909091,1.0,0.03125,0.13083036905940468,0.16666666666666666,1.0,0.0625,0.17695147022320376,0.15384615384615385,1.0,0.0625,0.1682730692830633,0.14285714285714285,1.0,0.0625,0.16059740160791225,0.13333333333333333,1.0,0.0625,0.153747552321437,0.125,1.0,0.0625,0.14758731140792106,0.11764705882352941,1.0,0.0625,0.14200988763253242,0.1111111111111111,1.0,0.0625,0.13693022250343376,0.10526315789473684,1.0,0.0625,0.13227962230790932,0.1,1.0,0.0625,0.12800192536872637,rrf_only
1.0,1.0,0.020833333333333332,1.0,1.0,1.0,0.041666666666666664,1.0,1.0,1.0,0.0625,1.0,0.75,1.0,0.0625,0.8318724637288826,0.6,1.0,0.0625,0.7227265726449519,0.5,1.0,0.0625,0.644824486427155,0.42857142857142855,1.0,0.0625,0.5857421563596757,0.375,1.0,0.0625,0.5390031312763821,0.3333333333333333,1.0,0.0625,0.5008655546918772,0.3,1.0,0.0625,0.4690000933206748,0.2727272727272727,1.0,0.0625,0.44187221243140345,0.25,1.0,0.0625,0.41842496774457966,0.23076923076923078,1.0,0.0625,0.3979037500973208,0.21428571428571427,1.0,0.0625,0.3797536268158244,0.2,1.0,0.0625,0.3635562594634462,0.1875,1.0,0.0625,0.34898956158698663,0.17647058823529413,1.0,0.0625,0.33580101130045265,0.16666666666666666,1.0,0.0625,0.3237894766400435,0.15789473684210525,1.0,0.0625,0.3127925223092844,0.15,1.0,0.0625,0.30267734665382945,rrf_only
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,0.06666666666666667,0.049043960636177025,0.07142857142857142,1.0,0.06666666666666667,0.046806851959664796,0.06666666666666667,1.0,0.06666666666666667,0.0448104318539346,0.0625,1.0,0.06666666666666667,0.0448104318539346,0.058823529411764705,1.0,0.06666666666666667,0.0448104318539346,0.05555555555555555,1.0,0.06666666666666667,0.0448104318539346,0.05263157894736842,1.0,0.06666666666666667,0.0448104318539346,0.05,1.0,0.06666666666666667,0.0448104318539346,rrf_only
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.038461538461538464,0.10778915452451093,0.2857142857142857,1.0,0.07692307692307693,0.18953836965473142,0.25,1.0,0.07692307692307693,0.1744142429082534,0.3333333333333333,1.0,0.11538461538461539,0.23282919119176917,0.3,1.0,0.11538461538461539,0.2180164145324244,0.2727272727272727,1.0,0.11538461538461539,0.20540591954623735,0.25,1.0,0.11538461538461539,0.19450638180608054,0.3076923076923077,1.0,0.15384615384615385,0.23401097910947494,0.2857142857142857,1.0,0.15384615384615385,0.22333671901762653,0.3333333333333333,1.0,0.19230769230769232,0.2564631978261513,0.3125,1.0,0.19230769230769232,0.2461874239344358,0.29411764705882354,1.0,0.19230769230769232,0.23688383558151516,0.2777777777777778,1.0,0.19230769230769232,0.2284105484089753,0.2631578947368421,1.0,0.19230769230769232,0.22065297581711021,0.25,1.0,0.19230769230769232,0.21351743564239337,rrf_only
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.037037037037037035,0.23463936301137822,0.25,1.0,0.037037037037037035,0.19519002499605084,0.4,1.0,0.07407407407407407,0.30078518014914984,0.3333333333333333,1.0,0.07407407407407407,0.26836379988737025,0.2857142857142857,1.0,0.07407407407407407,0.24377484748737527,0.25,1.0,0.07407407407407407,0.22432294601898897,0.2222222222222222,1.0,0.07407407407407407,0.2084508053262215,0.3,1.0,0.1111111111111111,0.25880978898961277,0.2727272727272727,1.0,0.1111111111111111,0.24383972559585743,0.3333333333333333,1.0,0.14814814814814814,0.2839641653718982,0.3076923076923077,1.0,0.14814814814814814,0.270037438023314,0.2857142857142857,1.0,0.14814814814814814,0.2577198542117921,0.26666666666666666,1.0,0.14814814814814814,0.24672750849630468,0.3125,1.0,0.18518518518518517,0.27690906229096723,0.29411764705882354,1.0,0.18518518518518517,0.2664444825590857,0.2777777777777778,1.0,0.18518518518518517,0.25691381698741556,0.2631578947368421,1.0,0.18518518518518517,0.24818817975649204,0.25,1.0,0.18518518518518517,0.2401621981399551,rrf_only
