hop_n,P@3,P@5,P@10,P@20,HR@3,HR@5,HR@10,HR@20,R@3,R@5,R@10,R@20,NDCG@3,NDCG@5,NDCG@10,NDCG@20
1,0.16666666666666666,0.1,0.15000000000000002,0.07500000000000001,0.5,0.5,1.0,1.0,0.015625,0.015625,0.0625,0.0625,0.11731968150568911,0.08479005131840403,0.12154894664238453,0.08187177367731249
3,0.0,0.0,0.15000000000000002,0.125,0.0,0.0,1.0,1.0,0.0,0.0,0.0625,0.109375,0.0,0.0,0.10807953306774869,0.11012559295787112
5,0.0,0.2,0.2,0.125,0.0,1.0,1.0,1.0,0.0,0.046875,0.09375,0.125,0.0,0.14606834984270645,0.16421958630632802,0.13693174476950465
10,0.3333333333333333,0.2,0.1,0.15,0.5,0.5,0.5,1.0,0.03125,0.03125,0.03125,0.140625,0.38268031849431083,0.2765732350040718,0.17947710508581735,0.19621787074913055
